scenario_id,seed,pattern_id,eligible,requalified_at_ms,deformation_onset_ms,deformation_clear_ms,shape_revocation_time_ms,flat_revocation_time_ms,comparable_revocation,revocation_lead_ms,tasks_exposed_before_shape_revocation,c_bypasses,d_bypasses,c_wrong_bypasses,d_wrong_bypasses,c_wrong_bypass_rate_over_bypasses,d_wrong_bypass_rate_over_bypasses,c_wrong_bypass_rate_over_tasks,d_wrong_bypass_rate_over_tasks,scenario_kind
D5_HARD_ANGULAR_COMPRESSION,99,5,True,80140.0,85500.0,89500.0,85500.0,89380.0,True,3880.0,0,17,0,3,0,0.17647058823529413,,0.15789473684210525,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,99,6,True,81380.0,85500.0,89500.0,85500.0,85960.0,True,460.0,0,3,0,3,0,1.0,,0.075,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,99,7,True,80780.0,85500.0,89500.0,85500.0,87580.0,True,2080.0,0,16,0,4,0,0.25,,0.15384615384615385,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,500,5,True,80560.0,86000.0,90000.0,86000.0,87420.0,True,1420.0,0,11,0,6,0,0.5454545454545454,,0.2608695652173913,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,500,6,True,80860.0,86000.0,90000.0,86000.0,86780.0,True,780.0,0,3,0,3,0,1.0,,0.2,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,500,7,True,80300.0,86000.0,90000.0,86000.0,87860.0,True,1860.0,0,11,0,4,0,0.36363636363636365,,0.16666666666666666,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,777,5,True,80600.0,86500.0,90500.0,86500.0,89920.0,True,3420.0,0,19,0,5,0,0.2631578947368421,,0.21739130434782608,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,777,6,True,80900.0,86500.0,90500.0,86500.0,87740.0,True,1240.0,0,3,0,3,0,1.0,,0.13636363636363635,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,777,7,True,80620.0,86500.0,90500.0,86500.0,88460.0,True,1960.0,0,19,0,4,0,0.21052631578947367,,0.14285714285714285,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,1337,5,True,80780.0,87000.0,91000.0,87000.0,90860.0,True,3860.0,0,16,0,4,0,0.25,,0.2222222222222222,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,1337,6,True,80840.0,87000.0,91000.0,87000.0,87560.0,True,560.0,0,3,0,3,0,1.0,,0.16666666666666666,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,1337,7,True,80860.0,87000.0,91000.0,87000.0,89100.0,True,2100.0,0,15,0,2,0,0.13333333333333333,,0.08695652173913043,0.0,HARD
D6_HARD_COVERAGE_LOSS,42,5,True,80460.0,85000.0,89000.0,85000.0,88280.0,True,3280.0,0,23,0,5,0,0.21739130434782608,,0.18518518518518517,0.0,HARD
D6_HARD_COVERAGE_LOSS,42,6,True,80860.0,85000.0,89000.0,85000.0,85420.0,True,420.0,0,3,0,3,0,1.0,,0.10344827586206896,0.0,HARD
D6_HARD_COVERAGE_LOSS,42,7,True,81620.0,85000.0,89000.0,85000.0,87900.0,True,2900.0,0,11,0,3,0,0.2727272727272727,,0.15789473684210525,0.0,HARD
D6_HARD_COVERAGE_LOSS,99,5,True,81880.0,85500.0,89500.0,85500.0,86880.0,True,1380.0,0,11,0,6,0,0.5454545454545454,,0.1875,0.0,HARD
D6_HARD_COVERAGE_LOSS,99,6,True,80740.0,85500.0,89500.0,85500.0,86500.0,True,1000.0,0,3,0,3,0,1.0,,0.15,0.0,HARD
D6_HARD_COVERAGE_LOSS,99,7,True,80960.0,85500.0,89500.0,85500.0,87780.0,True,2280.0,0,14,0,4,0,0.2857142857142857,,0.15384615384615385,0.0,HARD
D6_HARD_COVERAGE_LOSS,500,5,True,80980.0,86000.0,90000.0,86000.0,88660.0,True,2660.0,0,14,0,6,0,0.42857142857142855,,0.2727272727272727,0.0,HARD
D6_HARD_COVERAGE_LOSS,500,6,True,80880.0,86000.0,90000.0,86000.0,86320.0,True,320.0,0,3,0,3,0,1.0,,0.07692307692307693,0.0,HARD
D6_HARD_COVERAGE_LOSS,500,7,True,81160.0,86000.0,90000.0,86000.0,87940.0,True,1940.0,0,12,0,5,0,0.4166666666666667,,0.19230769230769232,0.0,HARD
D6_HARD_COVERAGE_LOSS,777,5,True,81000.0,86500.0,90500.0,86500.0,89140.0,True,2640.0,0,11,0,5,0,0.45454545454545453,,0.21739130434782608,0.0,HARD
D6_HARD_COVERAGE_LOSS,777,6,True,81140.0,86500.0,90500.0,86500.0,86940.0,True,440.0,0,3,0,3,0,1.0,,0.11538461538461539,0.0,HARD
D6_HARD_COVERAGE_LOSS,777,7,True,80280.0,86500.0,90500.0,86500.0,88220.0,True,1720.0,0,12,0,3,0,0.25,,0.10714285714285714,0.0,HARD
D6_HARD_COVERAGE_LOSS,1337,5,True,80920.0,87000.0,91000.0,87000.0,89740.0,True,2740.0,0,16,0,6,0,0.375,,0.2727272727272727,0.0,HARD
D6_HARD_COVERAGE_LOSS,1337,6,True,80360.0,87000.0,91000.0,87000.0,87720.0,True,720.0,0,4,0,3,0,0.75,,0.10344827586206896,0.0,HARD
D6_HARD_COVERAGE_LOSS,1337,7,True,80700.0,87000.0,91000.0,87000.0,89440.0,True,2440.0,0,13,0,5,0,0.38461538461538464,,0.2631578947368421,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,42,5,True,80800.0,85000.0,89000.0,85000.0,87840.0,True,2840.0,0,16,0,5,0,0.3125,,0.18518518518518517,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,42,6,True,80820.0,85000.0,89000.0,85000.0,85220.0,True,220.0,0,3,0,3,0,1.0,,0.13636363636363635,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,42,7,True,80400.0,85000.0,89000.0,85000.0,87420.0,True,2420.0,0,10,0,3,0,0.3,,0.15789473684210525,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,99,5,True,80880.0,85500.0,89500.0,85500.0,88040.0,True,2540.0,0,22,0,5,0,0.22727272727272727,,0.15151515151515152,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,99,6,True,80540.0,85500.0,89500.0,85500.0,86480.0,True,980.0,0,4,0,3,0,0.75,,0.13636363636363635,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,99,7,True,80360.0,85500.0,89500.0,85500.0,87240.0,True,1740.0,0,12,0,4,0,0.3333333333333333,,0.16,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,500,5,True,80660.0,86000.0,90000.0,86000.0,89060.0,True,3060.0,0,20,0,5,0,0.25,,0.16129032258064516,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,500,6,True,80860.0,86000.0,90000.0,86000.0,86800.0,True,800.0,0,3,0,3,0,1.0,,0.14285714285714285,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,500,7,True,80800.0,86000.0,90000.0,86000.0,88560.0,True,2560.0,0,14,0,4,0,0.2857142857142857,,0.16,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,777,5,True,80820.0,86500.0,90500.0,86500.0,89320.0,True,2820.0,0,17,0,5,0,0.29411764705882354,,0.16666666666666666,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,777,6,True,80660.0,86500.0,90500.0,86500.0,87080.0,True,580.0,0,3,0,3,0,1.0,,0.13636363636363635,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,777,7,True,80760.0,86500.0,90500.0,86500.0,88540.0,True,2040.0,0,17,0,3,0,0.17647058823529413,,0.10344827586206896,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,1337,5,True,80320.0,87000.0,91000.0,87000.0,90080.0,True,3080.0,0,16,0,4,0,0.25,,0.17391304347826086,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,1337,6,True,81300.0,87000.0,91000.0,87000.0,88160.0,True,1160.0,0,6,0,2,0,0.3333333333333333,,0.11764705882352941,0.0,HARD
D7_HARD_COORDINATOR_OFFSET,1337,7,True,80500.0,87000.0,91000.0,87000.0,88800.0,True,1800.0,0,16,0,3,0,0.1875,,0.08108108108108109,0.0,HARD
D8_HARD_ROLE_DOMINANCE,42,5,True,80300.0,85000.0,89000.0,85000.0,87400.0,True,2400.0,0,18,0,6,0,0.3333333333333333,,0.1935483870967742,0.0,HARD
D8_HARD_ROLE_DOMINANCE,42,6,True,81240.0,85000.0,89000.0,85000.0,85280.0,True,280.0,0,3,0,3,0,1.0,,0.125,0.0,HARD
D8_HARD_ROLE_DOMINANCE,42,7,True,80960.0,85000.0,89000.0,85000.0,86940.0,True,1940.0,0,12,0,3,0,0.25,,0.12,0.0,HARD
