scenario_id,seed,arch,tasks,bypasses,wrong_bypasses,fallbacks,fallback_rate,active_window_bypasses,active_window_wrong_bypasses,active_window_fallbacks,clean_window_tasks,clean_window_bypasses,clean_window_fallbacks,shape_denials,evidence_invalidity_denials,hard_failure_denials,soft_degradation_denials,restoring_denials,unnecessary_reconstruction_triggers
D5_HARD_ANGULAR_COMPRESSION,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,42,B_NAIVE_CACHE,6000,5026,55,974,0.16233333333333333,128,8,72,5790,4892,898,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,42,C_FLAT_BOUNDED,6000,4932,49,1068,0.178,132,12,68,5790,4794,996,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,42,D_TETRAHEDRAL_GATE,6000,4795,37,1205,0.20083333333333334,0,0,200,5790,4795,995,210,0,200,0,10,0
D5_HARD_ANGULAR_COMPRESSION,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,99,B_NAIVE_CACHE,6000,5009,51,991,0.16516666666666666,116,8,84,5790,4884,906,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,99,C_FLAT_BOUNDED,6000,4915,48,1085,0.18083333333333335,122,10,78,5790,4784,1006,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,99,D_TETRAHEDRAL_GATE,6000,4784,38,1216,0.20266666666666666,0,0,200,5790,4784,1006,210,0,200,0,10,0
D5_HARD_ANGULAR_COMPRESSION,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,500,B_NAIVE_CACHE,6000,5016,50,984,0.164,131,9,69,5790,4881,909,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,500,C_FLAT_BOUNDED,6000,4921,43,1079,0.17983333333333335,134,13,66,5790,4783,1007,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,500,D_TETRAHEDRAL_GATE,6000,4782,30,1218,0.203,0,0,200,5790,4782,1008,210,0,200,0,10,0
D5_HARD_ANGULAR_COMPRESSION,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,777,B_NAIVE_CACHE,6000,5036,57,964,0.16066666666666668,136,11,64,5790,4893,897,0,0,0,0,0,0
D5_HARD_ANGULAR_COMPRESSION,777,C_FLAT_BOUNDED,6000,4935,49,1065,0.1775,137,12,63,5790,4792,998,0,0,0,0,0,0
