scenario_id,seed,task_key,task_index,time_ms,pattern_id,phase,route_class,route_quality,candidate_admissible,candidate_latency_ms,candidate_cost,relapse_phase,deformation_onset_ms,deformation_clear_ms,arch,latency_ms,admissible,bypassed,wrong_bypass,fallback,executed_cost,route_allowed_before_shape,shape_blocked,route_gate_reason,first_blocking_gate,c_success_before,c_success_after,depreciation_state_before,depreciation_state,structural_cost_state,requalify_count,shadow_outcome_score,fresh_requalify_confidence,requalified_at_ms,promotion_completed_this_task,shape_allowed,shape_classification,shape_integrity_state,shape_authority_state,shape_first_failed_invariant,shape_all_failed_invariants,shape_raw_soft_warnings,shape_record_age_ms,shape_verification_pass,shape_epoch_match,shape_scope_match,shape_restore_count,shape_restoration_active,shape_restoration_requirement_satisfied,shape_reconstruction_triggered,shape_record_id,window_type
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4290,4290,85800.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,13.436838692985113,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,13.436838692985113,True,True,False,False,0.3,True,False,NONE,NONE,0.9838904355006796,0.9839068701072502,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|858,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4291,4291,85820.0,0,recovery,PERSISTENT_FAILURE,0.1,False,32.32049687936856,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,40.43842596622969,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|858,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4292,4292,85840.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,12.827835693325962,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,12.827835693325962,True,True,False,False,0.3,True,False,NONE,NONE,0.9839068701072502,0.9839208395633222,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|858,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4293,4293,85860.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,10.85566157431532,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,10.85566157431532,True,True,False,False,0.3,True,False,NONE,NONE,0.9835979180203895,0.9836582299870336,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|858,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4294,4294,85880.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,10.380823335994952,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,10.380823335994952,True,True,False,False,0.3,True,False,NONE,NONE,0.9836582299870336,0.9837094951830581,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|858,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4295,4295,85900.0,3,recovery,CONTROL,1.0,True,6.192719157114891,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,6.192719157114891,True,True,False,False,0.3,True,False,NONE,NONE,0.9995269627900325,0.9995979180203893,ACTIVE,ACTIVE,0.3,5,,,80740.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|859,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4296,4296,85920.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,6.657896798919664,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,6.657896798919664,True,True,False,False,0.3,True,False,NONE,NONE,0.9839208395633222,0.9839327136224811,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|859,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4297,4297,85940.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,12.162329595606145,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,12.162329595606145,True,True,False,False,0.3,True,False,NONE,NONE,0.9837094951830581,0.9837530706270959,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|859,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4298,4298,85960.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,11.275174414252493,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,11.275174414252493,True,True,False,False,0.3,True,False,NONE,NONE,0.9839327136224811,0.9839428065791089,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|859,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4299,4299,85980.0,1,recovery,CONTROL,1.0,True,7.259105832446384,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,7.259105832446384,True,True,False,False,0.3,True,False,NONE,NONE,0.9985244248384424,0.9987457608696424,ACTIVE,ACTIVE,0.3,5,,,80860.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|859,RESTORATION
